competency_unit,competency_unit_id,competency_unit_en,competency_embedding_text
"able to create wireframes, user flows, prototypes, and high-fidelity ui.","mampu membuat wireframe, alur pengguna, prototipe, dan ui dengan ketelitian tinggi.","able to create wireframes, user flows, prototypes, and high-fidelity ui.","mampu membuat wireframe, alur pengguna, prototipe, dan ui dengan ketelitian tinggi. able to create wireframes, user flows, prototypes, and high-fidelity ui."
"familiar with usability testing, heuristics, and interpreting research insights.","akrab dengan pengujian kegunaan, heuristik, dan menafsirkan wawasan penelitian.","familiar with usability testing, heuristics, and interpreting research insights.","akrab dengan pengujian kegunaan, heuristik, dan menafsirkan wawasan penelitian. familiar with usability testing, heuristics, and interpreting research insights."
understands design systems (creation & implementation).,memahami sistem desain (penciptaan & implementasi).,understands design systems (creation & implementation).,memahami sistem desain (penciptaan & implementasi). understands design systems (creation & implementation).
"strong communication and cross-functional collaboration skills (pm, engineering, research).","keterampilan komunikasi yang kuat dan kolaborasi lintas fungsi (pm, teknik, penelitian).","strong communication and cross-functional collaboration skills (pm, engineering, research).","keterampilan komunikasi yang kuat dan kolaborasi lintas fungsi (pm, teknik, penelitian). strong communication and cross-functional collaboration skills (pm, engineering, research)."
able to work independently or collaboratively within a squad.,mampu bekerja secara mandiri atau kolaboratif dalam satu regu.,able to work independently or collaboratively within a squad.,mampu bekerja secara mandiri atau kolaboratif dalam satu regu. able to work independently or collaboratively within a squad.
has a portfolio relevant to product design experience.,memiliki portofolio yang relevan dengan pengalaman desain produk.,has a portfolio relevant to product design experience.,memiliki portofolio yang relevan dengan pengalaman desain produk. has a portfolio relevant to product design experience.
possesses a growth mindset and strong attention to detail.,memiliki pola pikir berkembang dan perhatian yang kuat terhadap detail.,possesses a growth mindset and strong attention to detail.,memiliki pola pikir berkembang dan perhatian yang kuat terhadap detail. possesses a growth mindset and strong attention to detail.
designing and implementing machine learning models to solve business problems.,merancang dan mengimplementasikan model pembelajaran mesin untuk memecahkan masalah bisnis.,designing and implementing machine learning models to solve business problems.,merancang dan mengimplementasikan model pembelajaran mesin untuk memecahkan masalah bisnis. designing and implementing machine learning models to solve business problems.
collaborating with cross-functional teams to ensure the ai solutions meet business objectives.,berkolaborasi dengan tim lintas fungsi untuk memastikan solusi AI memenuhi tujuan bisnis.,collaborating with cross-functional teams to ensure the ai solutions meet business objectives.,berkolaborasi dengan tim lintas fungsi untuk memastikan solusi AI memenuhi tujuan bisnis. collaborating with cross-functional teams to ensure the ai solutions meet business objectives.
understanding and applying knowledge in data science and software engineering to create effective ai applications.,memahami dan menerapkan pengetahuan dalam ilmu data dan rekayasa perangkat lunak untuk menciptakan aplikasi AI yang efektif.,understanding and applying knowledge in data science and software engineering to create effective ai applications.,memahami dan menerapkan pengetahuan dalam ilmu data dan rekayasa perangkat lunak untuk menciptakan aplikasi AI yang efektif. understanding and applying knowledge in data science and software engineering to create effective ai applications.
continuously learning and adapting to new technologies and methodologies in the field of ai.,terus belajar dan beradaptasi dengan teknologi dan metodologi baru di bidang AI.,continuously learning and adapting to new technologies and methodologies in the field of ai.,terus belajar dan beradaptasi dengan teknologi dan metodologi baru di bidang AI. continuously learning and adapting to new technologies and methodologies in the field of ai.
min.,menit.,min.,menit. min.
curious in learning ai,penasaran dalam belajar ai,curious in learning ai,penasaran dalam belajar ai curious in learning ai
"collaborate with development teams (backend, frontend) to integrate ai models into chatbot systems and production pipelines.","berkolaborasi dengan tim pengembangan (backend, frontend) untuk mengintegrasikan model AI ke dalam sistem chatbot dan jalur produksi.","collaborate with development teams (backend, frontend) to integrate ai models into chatbot systems and production pipelines.","berkolaborasi dengan tim pengembangan (backend, frontend) untuk mengintegrasikan model AI ke dalam sistem chatbot dan jalur produksi. collaborate with development teams (backend, frontend) to integrate ai models into chatbot systems and production pipelines."
conduct experiments and evaluate model performance using relevant metrics for nlp and chatbots.,melakukan eksperimen dan mengevaluasi kinerja model menggunakan metrik yang relevan untuk nlp dan chatbots.,conduct experiments and evaluate model performance using relevant metrics for nlp and chatbots.,melakukan eksperimen dan mengevaluasi kinerja model menggunakan metrik yang relevan untuk nlp dan chatbots. conduct experiments and evaluate model performance using relevant metrics for nlp and chatbots.
"ability to analyze and evaluate ai models using metrics such as perplexity, bleu, rouge, or f1-score.","kemampuan untuk menganalisis dan mengevaluasi model AI menggunakan metrik seperti kebingungan, bleu, rouge, atau f1-score.","ability to analyze and evaluate ai models using metrics such as perplexity, bleu, rouge, or f1-score.","kemampuan untuk menganalisis dan mengevaluasi model AI menggunakan metrik seperti kebingungan, bleu, rouge, atau f1-score. ability to analyze and evaluate ai models using metrics such as perplexity, bleu, rouge, or f1-score."
"familiarity with cloud services such as gcp, aws, or azure, particularly those related to ai and ml model hosting.","keakraban dengan layanan cloud seperti gcp, aws, atau azure, khususnya yang terkait dengan hosting model ai dan ml.","familiarity with cloud services such as gcp, aws, or azure, particularly those related to ai and ml model hosting.","keakraban dengan layanan cloud seperti gcp, aws, atau azure, khususnya yang terkait dengan hosting model ai dan ml. familiarity with cloud services such as gcp, aws, or azure, particularly those related to ai and ml model hosting."
ability to work in a multidisciplinary team and collaborate with software engineers to implement efficient ai systems.,kemampuan untuk bekerja dalam tim multidisiplin dan berkolaborasi dengan insinyur perangkat lunak untuk menerapkan sistem AI yang efisien.,ability to work in a multidisciplinary team and collaborate with software engineers to implement efficient ai systems.,kemampuan untuk bekerja dalam tim multidisiplin dan berkolaborasi dengan insinyur perangkat lunak untuk menerapkan sistem AI yang efisien. ability to work in a multidisciplinary team and collaborate with software engineers to implement efficient ai systems.
